Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),"Single: Directional Error (deg; - = undershoot, + = overshoot)",Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026/8/14 12:49,Single,1,Pitch,1,-1,15,67,-15.075,0,-15.075,3.404,-12.641,-15.12,,0.045,0.298,-15.12,-15.12,-16.062,-16.062,16.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026/8/14 12:49,Single,1,Pitch,1,-1,15,67,-15.075,-15.075,-30.15,1.475,-12.614,-14.104,-0.971,0.971,6.44,-14.104,-14.104,-14.109,-14.109,14.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026/8/14 12:49,Single,1,Pitch,1,-1,15,67,-15.075,-30.15,-45.225,0.128,-14.595,-14.648,-0.427,0.427,2.835,-14.648,-14.648,-14.74,-14.74,14.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026/8/14 12:50,Single,1,Pitch,1,-1,15,67,-15.075,-45.225,-60.3,5.203,-8.424,-14.189,-0.886,0.886,5.879,-14.189,-14.189,-13.643,-13.642,13.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026/8/14 12:50,Single,1,Pitch,1,-1,15,67,-15.075,-60.3,-75.375,6.18,-8.476,-14.781,-0.294,0.294,1.947,-14.781,-14.781,-14.671,-14.671,14.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026/8/14 12:50,Single,1,Pitch,1,-1,15,67,-15.075,-75.375,-90.45,6.346,-8.751,-14.915,-0.16,0.16,1.064,-14.915,-14.915,-15.115,-15.115,15.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026/8/14 12:50,Single,1,Pitch,1,-1,15,67,-15.075,-90.45,-105.525,5.694,-9.406,-14.809,-0.266,0.266,1.764,-14.809,-14.809,-15.114,-15.114,15.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026/8/14 12:50,Single,1,Pitch,1,-1,15,67,-15.075,-105.525,-120.6,3.635,-11.021,-14.591,-0.484,0.484,3.208,-14.591,-14.591,-14.669,-14.669,14.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026/8/14 12:51,Single,1,Pitch,1,-1,15,67,-15.075,-120.6,-135.675,4.227,-10.987,-15.025,-0.05,0.05,0.331,-15.025,-15.025,-15.231,-15.23,15.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026/8/14 12:51,Single,1,Pitch,1,-1,15,67,-15.075,-135.675,-150.75,9.133,-4.434,-14.271,-0.804,0.804,5.331,-14.271,-14.271,-13.576,-13.576,13.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
