Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),"Single: Directional Error (deg; - = undershoot, + = overshoot)",Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026-08-14 13:37:50,Single,1,Pitch,1.000,1,15.000,67,15.075,-495.680,-480.600,1.321,14.262,14.449,-0.626,0.626,4.155,14.449,14.449,12.954,12.954,12.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-08-14 13:38:04,Single,1,Pitch,1.000,1,15.000,67,15.075,-480.600,-465.525,0.685,16.330,14.273,-0.802,0.802,5.318,14.273,14.273,15.658,15.659,15.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-08-14 13:38:13,Single,1,Pitch,1.000,1,15.000,67,15.075,-465.525,-450.450,2.013,17.372,15.342,0.267,0.267,1.771,15.342,15.342,15.373,15.374,15.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-08-14 13:38:21,Single,1,Pitch,1.000,1,15.000,67,15.075,-450.450,-435.375,3.240,18.346,14.871,-0.204,0.204,1.351,14.871,14.871,15.118,15.118,15.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-08-14 13:38:31,Single,1,Pitch,1.000,1,15.000,67,15.075,-435.375,-420.300,-1.660,12.200,14.657,-0.418,0.418,2.774,14.657,14.657,13.872,13.872,13.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-08-14 13:38:40,Single,1,Pitch,1.000,1,15.000,67,15.075,-420.300,-405.225,-2.109,12.635,14.979,-0.096,0.096,0.638,14.979,14.979,14.755,14.755,14.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-08-14 13:38:48,Single,1,Pitch,1.000,1,15.000,67,15.075,-405.225,-390.150,-2.236,12.137,14.343,-0.732,0.732,4.855,14.343,14.343,14.383,14.383,14.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-08-14 13:38:56,Single,1,Pitch,1.000,1,15.000,67,15.075,-390.150,-375.075,-1.047,13.590,14.713,-0.362,0.362,2.398,14.713,14.713,14.645,14.646,14.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-08-14 13:39:04,Single,1,Pitch,1.000,1,15.000,67,15.075,-375.075,-360.000,-0.700,14.222,14.477,-0.598,0.598,3.967,14.477,14.477,14.929,14.929,14.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-08-14 13:39:12,Single,1,Pitch,1.000,1,15.000,67,15.075,-360.000,-344.925,-0.108,14.677,15.310,0.235,0.235,1.560,15.310,15.310,14.795,14.795,14.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
