test_number,time,test_mode,motor_id,m1_axis,m1_imu_axis_sign,m1_direction,m1_requested_move_deg,m1_actual_step_pulses,m1_quantized_command_deg,m1_software_start_deg,m1_software_end_deg,m2_axis,m2_imu_axis_sign,m2_direction,m2_requested_move_deg,m2_actual_step_pulses,m2_quantized_command_deg,m2_software_start_deg,m2_software_end_deg,imu_relative_rotation_magnitude_deg,fk_predicted_relative_q_w,fk_predicted_relative_q_x,fk_predicted_relative_q_y,fk_predicted_relative_q_z,imu_relative_q_w,imu_relative_q_x,imu_relative_q_y,imu_relative_q_z,orientation_error_q_w,orientation_error_q_x,orientation_error_q_y,orientation_error_q_z,orientation_error_deg,orientation_error_axis_x,orientation_error_axis_y,orientation_error_axis_z,axis,imu_axis_sign,motor_direction,requested_move_deg,actual_step_pulses,quantized_command_deg,software_start_deg,software_end_deg,initial_euler_reference_deg,final_euler_reference_deg,quaternion_rotation_magnitude_deg,quaternion_axis_projected_deg,relative_euler_axis_deg,integrated_sensor_axis_deg,integrated_motor_axis_deg,measured_signed_rotation_deg,signed_error_deg,absolute_error_deg,percent_error
1,2026/8/13 17:44,Dual FK quaternion,M1+M2,Pitch,1,1,15,67,15.075,0,15.075,Roll,-1,1,15,67,15.075,0,15.075,20.98300121,0.982793103,-0.130041608,0.130041608,-0.017206897,0.98328193,-0.128726538,0.127188168,-0.020231023,0.999990372,0.001798371,-0.002452019,-0.003163731,0.502844786,0.409825835,-0.558783837,-0.720973931,,,,,,,,,,,,,,,,,,,
2,2026/8/13 18:00,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,15.08,30.15,5.168232356,18.1338492,13.18607084,13.17818285,13.1789684,14.38887782,14.38887782,14.38887782,-0.686122179,0.686122179,4.551390905
3,2026/8/13 18:01,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,0,15.075,6.46079368,19.02893817,12.79233449,12.77511691,12.77663156,14.44581324,14.44581324,14.44581324,-0.62918676,0.62918676,4.17370985
4,2026/8/13 18:01,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,15.075,30.15,-2.184632213,12.63704998,15.01616883,15.01352578,15.01379987,15.06333078,15.06333078,15.06333078,-0.011669221,0.011669221,0.077407765
5,2026/8/13 18:01,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,30.15,45.225,-1.223335784,12.94081225,14.36177003,14.3576993,14.35813468,14.82844026,14.82844026,14.82844026,-0.24655974,0.24655974,1.635553828
6,2026/8/13 18:02,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,45.225,60.3,-0.149322814,13.61624721,13.9681966,13.95876279,13.95958995,14.69855848,14.69855848,14.69855848,-0.37644152,0.37644152,2.497124513
7,2026/8/13 18:02,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,60.3,75.375,13.52992543,28.21870127,14.9144864,14.91267406,14.91286573,14.99422249,14.99422249,14.99422249,-0.080777515,0.080777515,0.535837578
8,2026/8/13 18:02,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,75.375,90.45,0.678496123,14.94123684,14.45380893,14.45304188,14.4531186,14.52933863,14.52933863,14.52933863,-0.54566137,0.54566137,3.619644248
9,2026/8/13 18:02,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,90.45,105.525,0.56461305,15.02030302,14.66432924,14.66056938,14.66096171,14.82029215,14.82029215,14.82029215,-0.25470785,0.25470785,1.689604311
10,2026/8/13 18:03,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,105.525,120.6,2.780153494,16.28725306,13.72782046,13.72082179,13.72153991,14.7582986,14.7582986,14.7582986,-0.316701399,0.316701399,2.100838468
11,2026/8/13 18:03,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,120.6,135.675,2.810010883,16.82401818,14.24050901,14.23434039,14.23499435,15.10754581,15.10754581,15.10754581,0.032545814,0.032545814,0.21589263
12,2026/8/13 18:03,Single,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch,1,1,15,67,15.075,135.675,150.75,3.135443331,17.81282739,14.86457966,14.86242172,14.86259813,14.84545972,14.84545972,14.84545972,-0.229540285,0.229540285,1.52265529
