Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),Single: Signed Error (deg),Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026/8/14 12:35,Single,1,Pitch,1,1,30,133,29.925,0,29.925,3.627,31.741,29.217,-0.708,0.708,2.368,29.217,29.217,28.135,28.136,28.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026/8/14 12:35,Single,1,Pitch,1,1,30,133,29.925,0,29.925,5.371,33.354,29.071,-0.854,0.854,2.854,29.071,29.071,28,28.001,28.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026/8/14 12:36,Single,1,Pitch,1,1,30,133,29.925,29.925,59.85,5.198,34.383,29.542,-0.383,0.383,1.279,29.542,29.542,29.207,29.208,29.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026/8/14 12:36,Single,1,Pitch,1,1,30,133,29.925,59.85,89.775,5.921,35.473,29.619,-0.306,0.306,1.024,29.619,29.619,29.58,29.581,29.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026/8/14 12:36,Single,1,Pitch,1,1,30,133,29.925,89.775,119.7,2.764,30.162,28.669,-1.256,1.256,4.197,28.669,28.669,27.427,27.428,27.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026/8/14 12:36,Single,1,Pitch,1,1,30,133,29.925,119.7,149.625,3.715,31.352,29.143,-0.782,0.782,2.614,29.143,29.143,27.667,27.668,27.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026/8/14 12:36,Single,1,Pitch,1,1,30,133,29.925,149.625,179.55,3.081,32.1,29.523,-0.402,0.402,1.342,29.523,29.523,29.046,29.047,29.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026/8/14 12:37,Single,1,Pitch,1,1,30,133,29.925,179.55,209.475,3.644,33.269,29.64,-0.285,0.285,0.954,29.64,29.64,29.65,29.651,29.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026/8/14 12:37,Single,1,Pitch,1,1,30,133,29.925,209.475,239.4,2.148,27.855,28.723,-1.202,1.202,4.016,28.723,28.723,25.731,25.732,25.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026/8/14 12:37,Single,1,Pitch,1,1,30,133,29.925,239.4,269.325,0.3,28.664,28.887,-1.038,1.038,3.467,28.887,28.887,28.386,28.387,28.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026/8/14 12:37,Single,1,Pitch,1,1,30,133,29.925,269.325,299.25,1.733,29.833,29.315,-0.61,0.61,2.037,29.315,29.315,28.123,28.124,28.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
