Test Number,Completed At,Test Mode,Motor ID,Single: IMU Axis,Single: IMU Direction Sign,Single: Motor Direction,Single: Requested Move (deg),Single: Actual Step Pulses,Single: Commanded Move (deg),Single: Start Position (deg),Single: End Position (deg),Single: Initial Euler Angle (deg),Single: Final Euler Angle (deg),Single: IMU Measured Rotation (deg),"Single: Directional Error (deg; - = undershoot, + = overshoot)",Single: Absolute Error (deg),Single: Error (%),Single: Integrated Motor-Axis Angle (deg),Single: Integrated Sensor-Axis Angle (deg),Single: Quaternion Projected Angle (deg),Single: Relative Euler Angle (deg),Single: Quaternion Rotation Magnitude (deg),Dual M1: IMU Axis,Dual M1: IMU Direction Sign,Dual M1: Motor Direction,Dual M1: Requested Move (deg),Dual M1: Actual Step Pulses,Dual M1: Commanded Move (deg),Dual M1: Start Position (deg),Dual M1: End Position (deg),Dual M2: IMU Axis,Dual M2: IMU Direction Sign,Dual M2: Motor Direction,Dual M2: Requested Move (deg),Dual M2: Actual Step Pulses,Dual M2: Commanded Move (deg),Dual M2: Start Position (deg),Dual M2: End Position (deg),Dual: IMU Relative Rotation Magnitude (deg),Dual: 3D Orientation Error (deg),Dual: Error Rotation Axis X,Dual: Error Rotation Axis Y,Dual: Error Rotation Axis Z,Dual: FK Predicted Relative Quaternion W,Dual: FK Predicted Relative Quaternion X,Dual: FK Predicted Relative Quaternion Y,Dual: FK Predicted Relative Quaternion Z,Dual: IMU Relative Quaternion W,Dual: IMU Relative Quaternion X,Dual: IMU Relative Quaternion Y,Dual: IMU Relative Quaternion Z,Dual: Error Quaternion W,Dual: Error Quaternion X,Dual: Error Quaternion Y,Dual: Error Quaternion Z
1,2026/8/14 13:05,Single,1,Pitch,1,-1,60,267,-60.075,0,-60.075,1.911,-61.06,-59.329,-0.746,0.746,1.242,-59.329,-59.329,-63.143,-63.122,63.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026/8/14 13:06,Single,1,Pitch,1,-1,60,267,-60.075,-60.075,-120.15,4.315,-56.515,-58.807,-1.268,1.268,2.111,-58.807,-58.807,-60.93,-60.924,60.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026/8/14 13:06,Single,1,Pitch,1,-1,60,267,-60.075,-120.15,-180.225,0.486,-59.242,-58.458,-1.617,1.617,2.692,-58.458,-58.458,-59.885,-59.869,59.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026/8/14 13:06,Single,1,Pitch,1,-1,60,267,-60.075,-180.225,-240.3,0.801,-61.573,-59.306,-0.769,0.769,1.28,-59.306,-59.306,-62.541,-62.52,62.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026/8/14 13:06,Single,1,Pitch,1,-1,60,267,-60.075,-240.3,-300.375,1.166,-56.819,-58.459,-1.616,1.616,2.69,-58.459,-58.459,-58.142,-58.139,58.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026/8/14 13:06,Single,1,Pitch,1,-1,60,267,-60.075,-300.375,-360.45,1.847,-59.335,-58.936,-1.139,1.139,1.897,-58.936,-58.936,-61.334,-61.313,61.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026/8/14 13:07,Single,1,Pitch,1,-1,60,267,-60.075,-360.45,-420.525,0.543,-61.79,-59.352,-0.723,0.723,1.203,-59.352,-59.352,-62.528,-62.509,62.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026/8/14 13:07,Single,1,Pitch,1,-1,60,267,-60.075,-420.525,-480.6,-1.598,-64.547,-59.642,-0.433,0.433,0.72,-59.642,-59.642,-63.151,-63.131,63.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026/8/14 13:07,Single,1,Pitch,1,-1,60,267,-60.075,-480.6,-540.675,-1.324,-59.836,-57.901,-2.174,2.174,3.619,-57.901,-57.901,-58.671,-58.659,58.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026/8/14 13:07,Single,1,Pitch,1,-1,60,267,-60.075,-540.675,-600.75,-1.131,-62.572,-58.448,-1.627,1.627,2.709,-58.448,-58.448,-61.607,-61.603,61.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
